Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Image Src,Image Alt Text,Status
womens-leather-printed-shoulder-bag-mkz-756472,Women's Leather Printed Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Printed</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Brown</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203205TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-printed-shoulder-bag/756472?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Brown,MKZ-756472-756472001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756472-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756472-product-1.webp,Women's Leather Printed Shoulder Bag,draft
womens-leather-printed-shoulder-bag-mkz-756471,Women's Leather Printed Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Printed</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Beige</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203204TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-printed-shoulder-bag/756471?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Beige,MKZ-756471-756471001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756471-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756471-product-1.webp,Women's Leather Printed Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756470,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Blue</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203203TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756470?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Blue,MKZ-756470-756470001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756470-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756470-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756476,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Blue</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203209TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756476?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Blue,MKZ-756476-756476001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756476-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756476-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756477,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Mustard</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203210TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756477?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Mustard,MKZ-756477-756477001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756477-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756477-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756478,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Magenta</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203211TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756478?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Magenta,MKZ-756478-756478001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756478-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756478-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756484,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Green</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 10 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203212TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756484?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Green,MKZ-756484-756484001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756484-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756484-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756485,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Maroon</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203213TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756485?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Maroon,MKZ-756485-756485001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756485-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756485-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756495,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Grey</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 9 Inches</li><li>Width: 15 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203214TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756495?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Grey,MKZ-756495-756495001,0,,,continue,manual,2161,TRUE,https://www.markaz.app/api/export/image/1598-37-756495-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756495-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756495,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1598-37-756495-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756495-product-3.webp,Women's Leather Plain Shoulder Bag,
womens-leather-plain-shoulder-bag-mkz-756503,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Green</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 9 Inches</li><li>Width: 15 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203220TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756503?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Green,MKZ-756503-756503001,0,,,continue,manual,2161,TRUE,https://www.markaz.app/api/export/image/1598-37-756503-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756503-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756503,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1598-37-756503-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756503-product-3.webp,Women's Leather Plain Shoulder Bag,
womens-leather-plain-shoulder-bag-mkz-756502,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Beige</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 9 Inches</li><li>Width: 15 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203219TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756502?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Beige,MKZ-756502-756502001,0,,,continue,manual,2161,TRUE,https://www.markaz.app/api/export/image/1598-37-756502-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756502-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756502,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1598-37-756502-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756502-product-3.webp,Women's Leather Plain Shoulder Bag,
womens-leather-plain-shoulder-bag-mkz-756501,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Lilac</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 9 Inches</li><li>Width: 15 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203218TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756501?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Lilac,MKZ-756501-756501001,0,,,continue,manual,2161,TRUE,https://www.markaz.app/api/export/image/1598-37-756501-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756501-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756501,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1598-37-756501-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756501-product-2.webp,Women's Leather Plain Shoulder Bag,
womens-leather-plain-shoulder-bag-mkz-756500,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Blue</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 9 Inches</li><li>Width: 15 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203217TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756500?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Blue,MKZ-756500-756500001,0,,,continue,manual,2161,TRUE,https://www.markaz.app/api/export/image/1598-37-756500-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756500-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756498,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Grey</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 9 Inches</li><li>Width: 15 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203216TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756498?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Grey,MKZ-756498-756498001,0,,,continue,manual,2161,TRUE,https://www.markaz.app/api/export/image/1598-37-756498-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756498-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756498,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1598-37-756498-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756498-product-3.webp,Women's Leather Plain Shoulder Bag,
